x	xend	y	yend	showSelected1
-3.25531877358935	-3.25531877358935	-55	0	1
-2.70741947345964	-2.70741947345964	-55	0	2
-2.33100356589959	-2.33100356589959	-55	0	3
-2.10834137623207	-2.10834137623207	-33.8832065627563	0	4
-2.01654096432056	-2.01654096432056	-7.83326898053705	0	5
-2.00046880793639	-2.00046880793639	-1.02200142248616	0	6
-2.00000039065585	-2.00000039065585	-0.0281519988174606	0	7
-1.99999999999958	-1.99999999999958	-2.34393673762481e-05	0	8
-2	-2	2.54729570769803e-11	0	9
-2	-2	0	0	10
-2	-2	0	0	11
-2	-2	0	0	12
-2	-2	0	0	13
-2	-2	0	0	14
-2	-2	0	0	15
-2	-2	0	0	16
-2	-2	0	0	17
-2	-2	0	0	18
-2	-2	0	0	19
-2	-2	0	0	20
-2.42997492176518	-2.42997492176518	-55	0	1
-2.16162453426182	-2.16162453426182	-50.7296169934325	0	2
-2.03339233520667	-2.03339233520667	-12.7506598644261	0	3
-2.00183752858951	-2.00183752858951	-2.12506326808389	0	4
-2.00000599105454	-2.00000599105454	-0.110613368291215	0	5
-2.00000000005333	-2.00000000005333	-0.000359467112909961	0	6
-2	-2	-3.19949400337422e-09	0	7
-2	-2	0	0	8
-2	-2	0	0	9
-2	-2	0	0	10
-2	-2	0	0	11
-2	-2	0	0	12
-2	-2	0	0	13
-2	-2	0	0	14
-2	-2	0	0	15
-2	-2	0	0	16
-2	-2	0	0	17
-2	-2	0	0	18
-2	-2	0	0	19
-2	-2	0	0	20
-2.51414460916533	-2.51414460916533	9.6995299577557	0	1
-2.21045684364049	-2.21045684364049	-55	0	2
-2.05219398575297	-2.05219398575297	-17.9425523747181	0	3
-2.00430586070022	-2.00430586070022	-3.43161577167542	0	4
-2.00003270920629	-2.00003270920629	-0.260340183294791	0	5
-2.0000000018495	-2.0000000018495	-0.00196266685793786	0	6
-2	-2	-1.10970033528526e-07	0	7
-2	-2	1.99840144432527e-13	0	8
-2	-2	0	0	9
-2	-2	0	0	10
-2	-2	0	0	11
-2	-2	0	0	12
-2	-2	0	0	13
-2	-2	0	0	14
-2	-2	0	0	15
-2	-2	0	0	16
-2	-2	0	0	17
-2	-2	0	0	18
-2	-2	0	0	19
-2	-2	0	0	20
-1.1501058138468	-1.1501058138468	-8.83560421253049	0	1
-0.996468906949423	-0.996468906949423	3.58596889024851	0	2
-1.00000110226743	-1.00000110226743	-0.0847205487472994	0	3
-1.00000000000001	-1.00000000000001	2.64544208085273e-05	0	4
-1	-1	2.23820961764432e-13	0	5
-1	-1	0	0	6
-1	-1	0	0	7
-1	-1	0	0	8
-1	-1	0	0	9
-1	-1	0	0	10
-1	-1	0	0	11
-1	-1	0	0	12
-1	-1	0	0	13
-1	-1	0	0	14
-1	-1	0	0	15
-1	-1	0	0	16
-1	-1	0	0	17
-1	-1	0	0	18
-1	-1	0	0	19
-1	-1	0	0	20
0.984678023910837	0.984678023910837	-6.00821086452074	0	1
0.999850713024954	0.999850713024954	-0.185716528071049	0	2
0.999999985248555	0.999999985248555	-0.0017916219700715	0	3
1.00000000000001	1.00000000000001	-1.77017338529606e-07	0	4
1	1	1.17239551400416e-13	0	5
1	1	0	0	6
1	1	0	0	7
1	1	0	0	8
1	1	0	0	9
1	1	0	0	10
1	1	0	0	11
1	1	0	0	12
1	1	0	0	13
1	1	0	0	14
1	1	0	0	15
1	1	0	0	16
1	1	0	0	17
1	1	0	0	18
1	1	0	0	19
1	1	0	0	20
2.16068818747636	2.16068818747636	2.64532635211519	0	1
2.00565111648521	2.00565111648521	-2.05858913023458	0	2
2.00001818110731	2.00001818110731	-0.0680349513407963	0	3
2.00000000020341	2.00000000020341	-0.000218175601526532	0	4
2	2	-2.44097009301046e-09	0	5
2	2	0	0	6
2	2	0	0	7
2	2	0	0	8
2	2	0	0	9
2	2	0	0	10
2	2	0	0	11
2	2	0	0	12
2	2	0	0	13
2	2	0	0	14
2	2	0	0	15
2	2	0	0	16
2	2	0	0	17
2	2	0	0	18
2	2	0	0	19
2	2	0	0	20
3.06419317297806	3.06419317297806	-4.26036770393289	0	1
3.0068723155899	3.0068723155899	2.90231304629841	0	2
3.00009046619683	3.00009046619683	0.278592394623436	0	3
3.0000000161316	3.0000000161316	0.00361928627175389	0	4
3.00000000000003	3.00000000000003	6.45264075818839e-07	0	5
3	3	1.27897692436826e-12	0	6
3	3	0	0	7
3	3	0	0	8
3	3	0	0	9
3	3	0	0	10
3	3	0	0	11
3	3	0	0	12
3	3	0	0	13
3	3	0	0	14
3	3	0	0	15
3	3	0	0	16
3	3	0	0	17
3	3	0	0	18
3	3	0	0	19
3	3	0	0	20
3.54545489791422	3.54545489791422	55	0	1
3.23997885226973	3.23997885226973	54.0872770151006	0	2
3.06894016998525	3.06894016998525	14.8089543092501	0	3
3.00784254681547	3.00784254681547	3.14464879310225	0	4
3.00011751533579	3.00011751533579	0.318522985850651	0	5
3.00000002714992	3.00000002714992	0.004701690679887	0	6
3.00000000000005	3.00000000000005	1.08599671898255e-06	0	7
3	3	2.16715534406853e-12	0	8
3	3	0	0	9
3	3	0	0	10
3	3	0	0	11
3	3	0	0	12
3	3	0	0	13
3	3	0	0	14
3	3	0	0	15
3	3	0	0	16
3	3	0	0	17
3	3	0	0	18
3	3	0	0	19
3	3	0	0	20
